gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43420.400,33.7139340,73.0883368,554.10,0.000,0.000,0.80,17
43420.500,33.7139340,73.0883368,554.10,0.000,0.000,0.80,17
43420.600,33.7139340,73.0883368,554.10,0.000,0.000,0.80,17
43420.700,33.7139340,73.0883368,554.10,0.000,0.000,0.80,17
43420.800,33.7139340,73.0883367,554.10,0.000,0.000,0.80,17
43420.900,33.7139340,73.0883367,554.10,0.000,0.000,0.80,17
43421.000,33.7139340,73.0883367,554.10,0.000,0.000,0.80,17
43421.200,33.7139340,73.0883367,554.10,0.000,0.000,0.80,17
43421.300,33.7139340,73.0883365,554.10,0.000,0.000,0.80,17
43421.400,33.7139340,73.0883365,554.10,0.000,0.000,0.80,17
43421.500,33.7139340,73.0883365,554.10,0.000,0.000,0.80,17
43421.600,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43421.800,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43421.900,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43422.000,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43422.100,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43422.200,33.7139342,73.0883365,554.10,0.000,0.000,0.80,17
43422.300,33.7139342,73.0883363,554.10,0.000,0.000,0.80,17
43422.400,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43422.600,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43422.700,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43422.800,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43422.900,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43423.000,33.7139343,73.0883363,554.10,0.000,0.000,0.80,17
43423.100,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.200,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.300,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.400,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.500,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.600,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.800,33.7139345,73.0883363,554.10,0.000,0.000,0.80,17
43423.900,33.7139345,73.0883362,554.10,0.000,0.000,0.80,17
43424.000,33.7139345,73.0883362,554.10,0.000,0.000,0.80,17
43424.100,33.7139345,73.0883362,554.10,0.000,0.000,0.80,17
